lyrics,pos,neg,compound,sentiment
vintage tee brand new phone high heels cobblestones young assume know nothing sequin smile black lipstick sensual politics young assume know nothing knew dancin levi drunk streetlight knew hand sweatshirt baby kiss better felt like old cardigan someone bed put said favorite friend friend none chase two girls lose one young assume know nothing knew playing hide seek giving weekends knew heartbeat high line twenty lifetimes felt like old cardigan someone bed put said favorite kiss cars downtown bars needed drew stars around scars bleedin knew steppin last train marked like bloodstain knew tried change ending peter losing wendy knew leavin like father running like water young assume know nothing knew linger like tattoo kiss knew haunt ifs smell smoke would hang around long knew everything young knew curse longest time chasin shadows grocery line knew miss thrill expired standin front porch light knew come back come back come back come back felt like old cardigan someone bed put said,0.25,0.095,0.9828,pos
walked door air cold somethin bout felt like home somehow left scarf sister house still got drawer even oh sweet disposition wide eyed gaze singin car getting lost upstate autumn leaves fallin like pieces place picture days know long gone magic might okay fine oh oh oh causе arе little town street almost ran red lookin wind hair remember well photo album counter cheeks turnin red used little kid glasses twin sized bed mother tellin stories bout tee ball team taught bout past thinkin future tossing car keys fuck patriarchy keychain ground always skippin town thinkin drive time gon na say love never called til dead gone buried check pulse come back swearin three months grave wondered went reached felt shame held lifeless frame know long gone nothing else could forget long enough forget needed middle night dancin round kitchen refrigerator light stairs remember well nobody know kept like secret kept like oath sacred prayer swear remember well yeah well maybe got lost translation maybe asked much maybe thing masterpiece til tore runnin scared remember well call break like promise casually cruel name bein honest crumpled piece paper lyin remember say well ends well new hell every time double cross mind said closer age maybe would fine made want die idea never needy ever lovely jewel whose shine reflects weepin party bathroom actress askin happened happened charmed dad self effacing jokes sippin coffee like late night show watched watch front door night willin come said supposed fun turning twenty one time fly like paralyzed like old self still tryin find plaid shirt days nights made mail back things walk home alone keep old scarf first week reminds innocence smells like get rid remember well yeah loved back lost one real thing ever known rare remember well wind hair remember stairs remember rare remember well never good tellin jokes punch line goes get older lovers stay age brooklyn broke skin bones soldier returning half weight twin flame bruise paint blue us love affair maim city barren cold still remember first fall snow glistened fell remember well us love affair maim well us remember well us remember us well wind hair stairs sacred prayer rare remember well wind hair oh stairs sacred prayer rare remember well wind hair stairs sacred prayer rare remember wind hair stairs sacred prayer rare remember,0.264,0.087,0.9969,pos
see standing honey arms around body laughin joke funny took five whole minutes pack us leave holdin love hall think seen film like ending homeland anymore defending town exile seein think seen film ooh ooh ooh see starin honey like understudy like get knuckles bloody second third hundredth chances balancin breaking branches eyes add insult injury think seen film like ending problem anymore offending crown exile seein think seen film leaving side door step right amount crying time always walked thin line even hear even hear never gave warning sign gave many signs time never learned read mind never learned read mind could turn things around never turned things around never gave warning sign gave many signs many signs many signs even see signs think seen film like ending homeland anymore defending town exile seein think seen film leavin side door step right amount crying time always walked thin line even hear even hear never gave warning sign gave many signs time never learned read mind never learned read mind could turn things around never turned things around never gave warning sign gave many signs never gave warning sign time many times never learned read mind many signs could turn things around could turn things around never gave warning sign never gave warning sign never gave warning sign ah,0.156,0.087,0.9098,pos
could leave christmas lights til january place make rules dazzling haze mysterious way dear known twenty seconds twenty years go go always close forever ever ah take take home lover could let friends crash living room place make call highly suspicious everyone sees wants loved three summers honey want em go go always close forever ever ah take take home forever ever lover ladies gentlemen please stand every guitar string scar hand take magnetic force man lover heart borrowed blue well ends well end swear overdramatic true lover save dirtiest jokes every table save seat lover go go always close forever ever ah take take home forever ever oh darling,0.357,0.074,0.9919,pos
good new shit saying yes instead thought saw bus stop though hit ground running night hit sunday matinée know greatest films time never made guess never know never know wanted really showed never bleed never gon na grow alright something think roaring twenties tossing pennies pool wishes came true would defense none never leaving well enough alone would fun would one ooh dream cool shit adventures meet woman internet take home never painted numbers baby making count know greatest loves time guess never know never know another day waking alone something think roaring twenties tossing pennies pool wishes came true would defense none never leaving well enough alone would fun would one persist resist temptation ask one thing different would everything different today something think rosé flowing chosen family would sweet could defense none digging grave another time would fun would one ooh,0.309,0.082,0.9887,pos
like little games like tilted stage role made play fool like like perfect crime laugh lie said gun mine cool like oh got smarter got harder nick time honey rose dead time got list names red underlined check check twice oh ooh look made look made look made look made ooh look made look made look made look made like kingdom keys belonged asked place sleep locked threw feast world moves another day another drama drama think karma world moves one thing sure maybe got mine get got smarter got harder nick time honey rose dead time got list names red underlined check check twice oh ooh look made look made look made look made ooh look made look made look made look made trust nobody nobody trusts actress starring bad dreams trust nobody nobody trusts actress starring bad dreams trust nobody nobody trusts actress starring bad dreams trust nobody nobody trusts actress starring bad dreams ooh look made look made look made look made ooh look made look made look made sorry old taylor come phone right oh dead oh ooh look made look made look made look made ooh look made look made look made look made ooh look made look made look made look made ooh look made look made look made look made,0.247,0.128,0.9829,pos
betty make assumptions switched homeroom think betty one time riding skateboard passed house like could breathe heard rumors inez believe word says times time true worst thing ever showed party would would want would tell go fuck lead garden garden would trust told summer thing seventeen know anything know miss betty know went wrong favorite song playing far side gym nowhere found hate crowds know plus saw dance heard rumors inez believe word says times time true worst thing ever showed party would would want would tell go fuck lead garden garden would trust told summer thing seventeen know anything know miss walking home broken cobblestones thinking pulled like figment worst intentions said james get let us drive days turned nights slept next dreamt summer long betty doorstep planned weeks finally sinkin betty right last time dream happens see face thing wan na make showed party yeah showed party yeah showed party love kiss porch front stupid friends kiss like dreamed patch broken wings seventeen know anything know miss standing cardigan kissin car stopped streetlight know miss,0.26,0.166,0.9558,pos
salt air rust door never needed anything whispers sure never ever see us lost memory august slipped away moment time never mine see us twisted bedsheets august sipped away like bottle wine never mine back beneath sun wishin could write name call back school remember thinkin see us lost memory august slipped away moment time never mine see us twisted bedsheets august sipped away like bottle wine never mine back still changin better wanting enough enough live hope cancel plans case call say meet behind mall much summer love saying us mine lose mine lose see us lost memory august slipped away moment time never mine see us twisted bedsheets august sipped away like bottle wine never mine never mine never mine remember remember pulled said get car canceled plans case call back livin hope hope meet behind mall remember pulled said get car canceled plans case call back livin hope hope meet behind mall remember pulled said get car canceled plans case call back livin hope hope hope hope hope hope,0.23,0.067,0.9867,pos
wan na end game wan na first string wan na team whoa whoa whoa wan na end game end game big reputation big reputation ooh got big reputations ah heard ooh got big enemies yeah big reputation big reputation ooh would big conversation ah git git heard ooh yeah like bad ones dope overdose stoked need toast ghost like whippin boat got reputation girl precede yeah one call away whenever need yeah g5 yeah come side yeah got bad boy persona like like love love type type hold protect life wan na touch wan na another ex love wan na see wan na miss wan na miss like girls wan na hurt wan na drinking beach know say know say tryna play wan na end game end game wan na first string first string wan na team team wan na end game end game knew young reconnected little bit older sprung got issues chips shoulders reputation precedes rumors knee deep truth easier ignore believe even argue long understand good bad end song beautiful traits way ease flaws paranoia insecurities made mistakes made choices hard deny storm something born 4th july passed days without fun end game one four words tip tongue never say wan na touch wan na another ex love wan na see wan na miss wan na miss like girls wan na hurt wan na drinking beach know say yeah tryna play wan na end game end game wan na first string wan na first string wan na team team wan na end game end game big reputation big reputation ooh got big reputations ah heard ooh got big enemies hey big reputation big reputation ooh would big conversation ah heard ooh like bad ones hit like bang tried forget could bury hatchets keep maps put em reputation precedes told crazy swear love drama loves let go hand prints soul like eyes liquor like body gold calling bluff usual tricks truth red lips wan na end game end game wan na first string first string wan na team team team wan na end game end game wan na end game oh wan na first string first string wan na team team wan na end game end,0.199,0.133,0.9859,pos
somebody know takin shots like patrón like damn 7 say street knock say tweet cop like hey okay tryna mess self expression learned lesson stressin obsessin bout somebody else fun snakes stones never broke bones oh oh oh oh oh oh oh oh oh oh need calm loud like oh oh oh oh oh oh oh oh oh oh oh need stop like step gown need calm somebody know comin friends like missile mad could glaad could glaad sunshine street parade would rather dark ages makin sign must taken night need take several seats try restore peace control urges scream people hate shade never made anybody less gay oh oh oh oh oh oh oh oh oh oh need calm loud like oh oh oh oh oh oh oh oh oh oh oh need stop like step gown need calm see internet comparing girls killing figured know got crowns need calm oh oh oh oh oh oh oh oh oh oh need calm need calm loud loud like oh oh oh oh oh oh oh oh oh oh oh need stop stop like step gowns need calm,0.26,0.116,0.9816,pos
nice meet could show incredible things magic madness heaven sin saw thought oh god look face look like next mistake love game wan na play ayy new money suit tie read like magazine funny rumors fly know heard hey let us friends dyin see one ends grab passport hand make bad guys good weekend gon na forever gon na go flames tell mm high worth pain got long list ex lovers tell insane know love players love game young reckless take way far leave breathless hmm nasty scar got long list ex lovers tell insane got blank space baby write name cherry lips crystal skies could show incredible things stolen kisses pretty lies king baby queen find want girl month wait worst yet come oh screaming crying perfect storms make tables turn rose garden filled thorns keep second guessin like oh god get drunk jealousy come back time leave darling nightmare dressed like daydream gon na forever gon na go flames tell mm high worth pain got long list ex lovers tell insane know love players love game young reckless take way far leave breathless hmm nasty scar got long list ex lovers tell insane got blank space baby write name boys want love torture say say warn ya boys want love torture say say warn ya gon na forever gon na go flames tell mm high worth pain got long list ex lovers tell insane know love players love game young reckless take way far leave breathless hmm nasty scar got long list ex lovers tell insane got blank space baby write name1kembedshare,0.29,0.232,0.9805,pos
